# category	path	count
# Generated by tools/partition/partition_literals.py --write-baseline; do not hand-edit.
arn-literal	src/main/java/io/github/hectorvent/floci/services/servicequotas/ServiceQuotasService.java	2
arn-literal	src/main/java/io/github/hectorvent/floci/services/ses/SesService.java	1
arn-literal	src/main/java/io/github/hectorvent/floci/services/ses/SesTenantService.java	1
arn-literal	src/main/java/io/github/hectorvent/floci/services/signin/SigninService.java	3
arn-literal	src/main/java/io/github/hectorvent/floci/services/ssm/SsmService.java	3
arn-literal	src/main/java/io/github/hectorvent/floci/services/stepfunctions/AslExecutor.java	32
arn-literal	src/main/java/io/github/hectorvent/floci/services/stepfunctions/StepFunctionsService.java	3
arn-literal	src/main/java/io/github/hectorvent/floci/services/swf/SwfService.java	1
arn-literal	src/main/java/io/github/hectorvent/floci/services/verifiedpermissions/VerifiedPermissionsService.java	2
arn-regex-dialect	src/main/java/io/github/hectorvent/floci/services/apigateway/ApiGatewayExecuteController.java	1
arn-regex-dialect	src/main/java/io/github/hectorvent/floci/services/bedrockagentcorecontrol/BedrockAgentCoreGatewayRuleService.java	3
arn-regex-dialect	src/main/java/io/github/hectorvent/floci/services/bedrockagentcorecontrol/BedrockAgentCoreToolsService.java	1
arn-regex-dialect	src/main/java/io/github/hectorvent/floci/services/budgets/BudgetsService.java	2
arn-regex-dialect	src/main/java/io/github/hectorvent/floci/services/ce/CostAnomalyService.java	1
arn-regex-dialect	src/main/java/io/github/hectorvent/floci/services/controltower/ControlTowerControlService.java	1
arn-regex-dialect	src/main/java/io/github/hectorvent/floci/services/controltower/ControlTowerService.java	1
arn-regex-dialect	src/main/java/io/github/hectorvent/floci/services/ecr/EcrService.java	1
arn-regex-dialect	src/main/java/io/github/hectorvent/floci/services/firehose/ProcessingConfigurationValidator.java	1
arn-regex-dialect	src/main/java/io/github/hectorvent/floci/services/kms/KmsService.java	2
arn-regex-dialect	src/main/java/io/github/hectorvent/floci/services/lambda/LambdaService.java	1
arn-regex-dialect	src/main/java/io/github/hectorvent/floci/services/ses/SesReceiptRuleService.java	2
arn-regex-dialect	src/main/java/io/github/hectorvent/floci/services/ssoadmin/SsoAdminService.java	9
arn-regex-dialect	src/main/java/io/github/hectorvent/floci/services/ssooidc/SsoOidcService.java	1
arn-regex-dialect	src/main/java/io/github/hectorvent/floci/services/timestreaminfluxdb/TimestreamInfluxDbValidation.java	1
dns-suffix	src/main/java/io/github/hectorvent/floci/config/EmulatorConfig.java	2
dns-suffix	src/main/java/io/github/hectorvent/floci/core/common/AwsRegions.java	1
dns-suffix	src/main/java/io/github/hectorvent/floci/services/account/AccountService.java	1
dns-suffix	src/main/java/io/github/hectorvent/floci/services/apigateway/ApiGatewayExecuteApiHostFilter.java	1
dns-suffix	src/main/java/io/github/hectorvent/floci/services/apigateway/ApiGatewayExecuteController.java	4
dns-suffix	src/main/java/io/github/hectorvent/floci/services/apigateway/ApiGatewayService.java	1
dns-suffix	src/main/java/io/github/hectorvent/floci/services/apigatewayv2/ApiGatewayV2Service.java	2
dns-suffix	src/main/java/io/github/hectorvent/floci/services/apigatewayv2/websocket/WebSocketProxyEventBuilder.java	1
dns-suffix	src/main/java/io/github/hectorvent/floci/services/applicationautoscaling/ApplicationAutoScalingService.java	1
dns-suffix	src/main/java/io/github/hectorvent/floci/services/appsync/AppSyncService.java	1
dns-suffix	src/main/java/io/github/hectorvent/floci/services/aps/ApsService.java	1
dns-suffix	src/main/java/io/github/hectorvent/floci/services/bedrockagentcorecontrol/BedrockAgentCoreCredentialProviderService.java	1
dns-suffix	src/main/java/io/github/hectorvent/floci/services/bedrockagentcorecontrol/BedrockAgentCoreGatewayService.java	1
dns-suffix	src/main/java/io/github/hectorvent/floci/services/cloudformation/CloudFormationService.java	1
dns-suffix	src/main/java/io/github/hectorvent/floci/services/cloudformation/CloudFormationTemplateEngine.java	1
dns-suffix	src/main/java/io/github/hectorvent/floci/services/cloudformation/SamTransformProcessor.java	4
dns-suffix	src/main/java/io/github/hectorvent/floci/services/cloudformation/StackSetService.java	1
dns-suffix	src/main/java/io/github/hectorvent/floci/services/cloudformation/provisioners/CognitoCfnProvisioner.java	1
dns-suffix	src/main/java/io/github/hectorvent/floci/services/cloudformation/provisioners/S3CfnProvisioner.java	4
dns-suffix	src/main/java/io/github/hectorvent/floci/services/cloudtrail/CloudTrailLogWriter.java	1
dns-suffix	src/main/java/io/github/hectorvent/floci/services/cloudtrail/CloudTrailService.java	5
dns-suffix	src/main/java/io/github/hectorvent/floci/services/cognito/CognitoService.java	1
dns-suffix	src/main/java/io/github/hectorvent/floci/services/connect/ConnectService.java	1
dns-suffix	src/main/java/io/github/hectorvent/floci/services/ec2/Ec2QueryHandler.java	1
dns-suffix	src/main/java/io/github/hectorvent/floci/services/ecr/EcrService.java	1
dns-suffix	src/main/java/io/github/hectorvent/floci/services/eks/EksOidcService.java	2
dns-suffix	src/main/java/io/github/hectorvent/floci/services/eks/EksPodIdentityCredentialsController.java	1
dns-suffix	src/main/java/io/github/hectorvent/floci/services/eks/EksPodIdentityWebhook.java	2
dns-suffix	src/main/java/io/github/hectorvent/floci/services/emr/EmrHandler.java	1
dns-suffix	src/main/java/io/github/hectorvent/floci/services/guardduty/GuardDutyService.java	1
dns-suffix	src/main/java/io/github/hectorvent/floci/services/iam/IamService.java	6
dns-suffix	src/main/java/io/github/hectorvent/floci/services/iam/SAMLAssertionVerifier.java	1
dns-suffix	src/main/java/io/github/hectorvent/floci/services/iam/StsQueryHandler.java	2
dns-suffix	src/main/java/io/github/hectorvent/floci/services/macie2/MacieController.java	1
dns-suffix	src/main/java/io/github/hectorvent/floci/services/ram/RamController.java	2
dns-suffix	src/main/java/io/github/hectorvent/floci/services/s3/S3Service.java	1
dns-suffix	src/main/java/io/github/hectorvent/floci/services/s3/S3VirtualHostFilter.java	1
dns-suffix	src/main/java/io/github/hectorvent/floci/services/signin/SigninService.java	1
dns-suffix	src/main/java/io/github/hectorvent/floci/services/ssoportal/SsoPortalService.java	1
dns-suffix	src/main/java/io/github/hectorvent/floci/services/stepfunctions/AslExecutor.java	1
dns-suffix	src/main/java/io/github/hectorvent/floci/services/verifiedpermissions/VerifiedPermissionsService.java	1
dns-suffix	src/main/java/io/github/hectorvent/floci/tools/ami/AmiImageTool.java	1
hosted-zone-id	src/main/java/io/github/hectorvent/floci/services/apigateway/ApiGatewayService.java	2
hosted-zone-id	src/main/java/io/github/hectorvent/floci/services/elb/ElbClassicService.java	1
hosted-zone-id	src/main/java/io/github/hectorvent/floci/services/elbv2/ElbV2Service.java	1
